HPO term_id,HPO_term_name,phecode,phecode string,class,suppress?,# of Mendelian diseases tested with this phenotype for this study
2478,Progressive spastic quadriplegia,344,Other paralytic syndromes,,0,1
2480,Hepatic encephalopathy,571.8,Liver abscess and sequelae of chronic liver disease,,0,0
2483,Bulbar signs,334.2,Anterior horn cell disease,,0,3
2486,Myotonia,359.1,Muscular dystrophies,,0,8
2487,Hyperkinesis,350.1,Abnormal involuntary movements,,0,3
2488,Acute leukemia,204,Leukemia,,0,5
2490,Increased CSF lactate,,-,,-,0
2491,Spasticity of facial muscles,352.2,Facial nerve disorders [CN7],,0,2
2492,Abnormality of the corticospinal tract,,-,,-,0
2493,Upper motor neuron dysfunction,333,Extrapyramidal disease and abnormal movement disorders,,0,1
2494,Abnormal rapid eye movement (REM) sleep,,-,,-,0
2495,Impaired vibratory sensation,,-,,-,0
2497,Spastic ataxia,334.1,Spinocerebellar disease,,0,5
2500,Abnormality of the cerebral white matter,,-,,-,0
2501,Spasticity of pharyngeal muscles,350.1,Abnormal involuntary movements,,0,2
2503,Spinocerebellar tract degeneration,334.1,Spinocerebellar disease,,0,2
2504,Calcification of the small brain vessels,348.9,"Other conditions of brain, NOS",,0,1
2505,Progressive inability to walk,741.3,Difficulty in walking,,0,1
2506,Diffuse cerebral atrophy,331,Other cerebral degenerations,,0,4
2507,Semilobar holoprosencephaly,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
2508,Brainstem dysplasia,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
2509,Limb hypertonia,772.2,Spasm of muscle,,0,5
2510,Spastic tetraplegia,343,Infantile cerebral palsy,Congenital,1,0
2511,Alzheimer disease,290.11,Alzheimer's disease,,0,5
2512,Brain stem compression,348.2,Cerebral edema and compression of brain,,0,1
2514,Cerebral calcification,348.9,"Other conditions of brain, NOS",,0,21
2515,Waddling gait,350.2,Abnormality of gait,,0,13
2516,Increased intracranial pressure,377,Disorders of optic nerve and visual pathways,,0,4
2518,Abnormality of the periventricular white matter,,-,,-,0
2519,Hypnagogic hallucinations,292.6,Hallucinations,,0,0
2521,Hypsarrhythmia,345.1,Epilepsy,Infantile,1,0
2522,Areflexia of lower limbs,350.5,Abnormal reflex,,0,3
2524,Cataplexy,347,Cataplexy and narcolepsy,,0,4
2527,Falls,,-,,-,0
2528,Granulovacuolar degeneration,331,Other cerebral degenerations,,0,1
2529,Neuronal loss in central nervous system,331,Other cerebral degenerations,,0,16
2530,Axial dystonia,333,Extrapyramidal disease and abnormal movement disorders,,0,2
2533,Abnormal posturing,,-,,-,0
2536,Abnormal cortical gyration,,-,,-,0
2539,Cortical dysplasia,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
2540,Inability to walk,741.3,Difficulty in walking,,0,3
2542,Olivopontocerebellar atrophy,333.8,Other degenerative diseases of the basal ganglia,,0,4
2544,Retrocollis,723.1,Torticollis,,0,1
2545,Patchy demyelination of subcortical white matter,341,Other demyelinating diseases of central nervous system,,0,1
2546,Incomprehensible speech,292.1,Aphasia/speech disturbance,,0,0
2548,Parkinsonism with favorable response to dopaminergic medication,332,Parkinson's disease,,0,5
2550,Absent facial hair,,-,,-,0
2553,Highly arched eyebrow,,-,,-,0
2555,Absent pubic hair,,-,,-,0
2557,Hypoplastic nipples,,-,Congenital,-,0
2558,Supernumerary nipple,612.3,Congenital anomalies of breast,Congenital,1,0
2561,Absent nipple,612.3,Congenital anomalies of breast,Congenital,1,0
2562,Low-set nipples,,-,Congenital,-,0
2563,Constrictive pericarditis,420.22,Chronic pericarditis,,0,1
2564,Malformation of the heart and great vessels,747.1,Cardiac congenital anomalies,Congenital,1,0
2566,Intestinal malrotation,750.21,Congenital anomalies of intestine,Congenital,1,0
2570,Steatorrhea,557,Intestinal malabsorption (non-celiac),,0,7
2571,Achalasia,530.5,Disorders of esophageal motility,,0,4
2572,Episodic vomiting,789.1,Persistent vomiting,,0,2
2573,Hematochezia,578.2,Blood in stool,,0,7
2574,Episodic abdominal pain,785,Abdominal pain,,0,3
2575,Tracheoesophageal fistula,530,Diseases of esophagus,,0,2
2576,Intussusception,560.4,Other intestinal obstruction,,0,2
2577,Abnormality of the stomach,,-,,-,0
2578,Gastroparesis,536.3,Gastroparesis,,0,3
2579,Gastrointestinal dysmotility,560.4,Other intestinal obstruction,,0,4
2580,Volvulus,560.4,Other intestinal obstruction,,0,0
2582,Chronic atrophic gastritis,535.2,Atrophic gastritis,,0,1
2583,Colitis,555.2,Ulcerative colitis,,0,2
2584,Intestinal bleeding,578.9,Hemorrhage of gastrointestinal tract,,0,2
2585,Abnormality of the peritoneum,,-,,-,0
2586,Peritonitis,567,Peritonitis and retroperitoneal infections,,0,5
2587,Projectile vomiting,789,Nausea and vomiting,,0,0
2588,Duodenal ulcer,531.3,Duodenal ulcer,,0,0
2590,Paralytic ileus,560.1,Paralytic ileus,,0,2
2591,Polyphagia,260.7,Polyphagia,,0,5
2592,Gastric ulcer,531.2,Gastric ulcer,,0,0
2593,Intestinal lymphangiectasia,450,Noninfectious disorders of lymphatic channels,,0,0
2594,Pancreatic hypoplasia,,-,Congenital,-,0
2595,Ileus,560,Intestinal obstruction without mention of hernia,,0,1
2599,Head titubation,350.1,Abnormal involuntary movements,,0,2
2600,Hyporeflexia of lower limbs,350.5,Abnormal reflex,,0,6
2601,Paresis of extensor muscles of the big toe,,-,,-,0
2604,Gastrointestinal telangiectasia,448,Disease of capillaries,,0,2
2605,Hepatic necrosis,573.4,Acute and subacute necrosis of liver,,0,0
2607,Bowel incontinence,,-,,-,0
2608,Celiac disease,557.1,Celiac disease,,0,0
2611,Cholestatic liver disease,571.6,Primary biliary cirrhosis,,0,0
2612,Congenital hepatic fibrosis,750.22,"Congenital anomaly of gallbladder, bile ducts, liver, pancreas",Congenital,1,0
2613,Biliary cirrhosis,571.6,Primary biliary cirrhosis,,0,4
2614,Hepatic periportal necrosis,573.4,Acute and subacute necrosis of liver,,0,0
2615,Hypotension,458,Hypotension,,0,16
2616,Aortic root dilatation,442.1,Aortic aneurysm,,0,2
2617,Aneurysm,442,Other aneurysm,,0,4
2619,Varicose veins,454,Varicose veins,,0,2
2621,Atherosclerosis,440,Atherosclerosis,,0,5
2622,Dissecting aortic aneurysm,442.1,Aortic aneurysm,,0,1
2623,Overriding aorta,747.1,Cardiac congenital anomalies,Congenital,1,0
2625,Deep venous thrombosis,452.2,Deep vein thrombosis [DVT],,0,3
2626,Venous varicosities of celiac and mesenteric vessels,454,Varicose veins,,0,1
2627,Right aortic arch with mirror image branching,747.1,Cardiac congenital anomalies,Congenital,1,0
2629,Gastrointestinal arteriovenous malformation,747,Cardiac and circulatory congenital anomalies,Congenital,1,0
2630,Fat malabsorption,557,Intestinal malabsorption (non-celiac),,0,4
2631,Ascending aortic aneurysm,442.1,Aortic aneurysm,,0,1
2632,Low-to-normal blood pressure,,-,,-,0
2633,Vasculitis,446,Polyarteritis nodosa and allied conditions,,0,7
2634,Arteriosclerosis,414.2,ASCVD,,0,0
2637,Cerebral ischemia,433.3,Cerebral ischemia,,0,12
2638,Superficial thrombophlebitis,451,Phlebitis and thrombophlebitis,,0,2
2639,Budd-Chiari syndrome,452,Other venous embolism and thrombosis,,0,1
2640,Hypertension associated with pheochromocytoma,,-,,-,0
2641,Peripheral thrombosis,444.1,Arterial embolism and thrombosis of lower extremity artery,,0,2
2642,Arteriovenous fistulas of celiac and mesenteric vessels,447,Other disorders of arteries and arterioles,,0,1
2643,Neonatal respiratory distress,661,Fetal distress and abnormal forces of labor,Infantile,1,0
2644,Abnormality of pelvic girdle bone morphology,,-,,-,0
2645,Wormian bones,749.2,Congenital anomalies of skull and face bones,Congenital,1,0
2647,Aortic dissection,442.1,Aortic aneurysm,,0,4
2648,Abnormality of calvarial morphology,,-,Congenital,-,0
2650,Scoliosis,737.3,Kyphoscoliosis and scoliosis,,0,80
2651,Spondyloepimetaphyseal dysplasia,756,Other congenital musculoskeletal anomalies,Congenital,1,0
2652,Skeletal dysplasia,756.5,Congenital osteodystrophies,Congenital,1,0
2653,Bone pain,,-,,-,0
2654,Multiple epiphyseal dysplasia,756.5,Congenital osteodystrophies,Congenital,1,0
2655,Spondyloepiphyseal dysplasia,756,Other congenital musculoskeletal anomalies,Congenital,1,0
2656,Epiphyseal dysplasia,756,Other congenital musculoskeletal anomalies,Congenital,1,0
2657,Spondylometaphyseal dysplasia,756,Other congenital musculoskeletal anomalies,Congenital,1,0
2659,Increased susceptibility to fractures,809,Fracture of unspecified bones,,0,5
2661,Painless fractures due to injury,,-,,-,0
2663,Delayed epiphyseal ossification,,-,Pediatric,-,0
2664,Neoplasm,,-,,-,0
2665,Lymphoma,202.2,Non-Hodgkins lymphoma,,0,6
2666,Pheochromocytoma,227.1,Benign neoplasm of adrenal gland,,0,5
2667,Nephroblastoma (Wilms tumor),189.11,"Malignant neoplasm of kidney, except pelvis",,0,4
2668,Paraganglioma,194,Cancer of other endocrine glands,,0,1
2669,Osteosarcoma,170,Cancer of bone and connective tissue,,0,3
2671,Basal cell carcinoma,172.21,Basal cell carcinoma,,0,6
2672,Gastrointestinal carcinoma,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,,0,2
2673,Coxa valga,736.3,Acquired deformities of hip,,0,4
2676,Cloverleaf skull,749.2,Congenital anomalies of skull and face bones,Congenital,1,0
2677,Small foramen magnum,,-,,-,0
2678,Skull asymmetry,,-,Congenital,-,0
2680,J-shaped sella turcica,,-,,-,0
2681,Deformed sella turcica,,-,,-,0
2682,Broad skull,,-,Congenital,-,0
2684,Thickened calvaria,,-,Congenital,-,0
2686,Prenatal maternal abnormality,,-,Pregnancy-related,-,0
2687,Abnormality of the frontal sinuses,,-,,-,0
2688,Absent frontal sinuses,,-,Congenital,-,0
2689,Absent paranasal sinuses,,-,Congenital,-,0
2690,Large sella turcica,,-,,-,0
2691,Platybasia,749.2,Congenital anomalies of skull and face bones,Congenital,1,0
2692,Hypoplastic facial bones,,-,Congenital,-,0
2694,Sclerosis of skull base,,-,,-,0
2695,"Symmetrical, oval parietal bone defects",,-,Congenital,-,0
2697,Parietal foramina,,-,Congenital,-,0
2700,Large foramen magnum,,-,,-,0
2705,"High, narrow palate",,-,,-,0
2707,Palate telangiectasia,448,Disease of capillaries,,0,2
2708,Prominent median palatal raphe,,-,,-,0
2710,Commissural lip pit,,-,,-,0
2714,Downturned corners of mouth,,-,,-,0
2715,Abnormality of the immune system,,-,,-,0
2716,Lymphadenopathy,289.4,Lymphadenitis,,0,27
2718,Recurrent bacterial infections,041,Bacterial infection NOS,,0,18
2719,Recurrent infections,,-,,-,0
2720,IgA deficiency,,-,,-,0
2721,Immunodeficiency,,-,,-,0
2722,Recurrent abscess formation,681,Superficial cellulitis and abscess,,0,0
2723,Absence of bactericidal oxidative 'respiratory burst' in phagocytes,,-,,-,0
2724,Recurrent Aspergillus infections,117.4,Aspergillosis,,0,2
2725,Systemic lupus erythematosus,695.42,Systemic lupus erythematosus,,0,2
2726,Recurrent Staphylococcus aureus infections,041.1,Staphylococcus infections,,0,2
2728,Chronic mucocutaneous candidiasis,112,Candidiasis,,0,3
2729,Follicular hyperplasia,,-,,-,0
2730,Chronic noninfectious lymphadenopathy,289.4,Lymphadenitis,,0,0
2731,Defective lymphocyte apoptosis,,-,,-,0
2732,Lymph node hypoplasia,,-,Congenital,-,0
2733,Abnormality of the lymph nodes,,-,,-,0
2737,Thick skull base,,-,,-,0
2738,Hypoplastic frontal sinuses,,-,Congenital,-,0
2740,Recurrent E. coli infections,041.4,E. coli,,0,2
2741,Recurrent Serratia marcescens infections,038.1,Gram negative septicemia,,0,2
2742,Recurrent Klebsiella infections,480.1,Bacterial pneumonia,,0,2
2743,Recurrent enteroviral infections,,-,,-,0
2744,Bilateral cleft lip and palate,749.1,Cleft palate,Congenital,1,0
2745,Oral leukoplakia,528.6,Leukoplakia of oral mucosa,,0,3
2747,Respiratory insufficiency due to muscle weakness,772.3,Muscle weakness,,0,17
2748,Rickets,261.41,Rickets or osteomalacia,,0,6
2749,Osteomalacia,261.41,Rickets or osteomalacia,,0,5
2750,Delayed skeletal maturation,,-,Pediatric,-,0
2751,Kyphoscoliosis,737.3,Kyphoscoliosis and scoliosis,,0,14
2752,Sparse bone trabeculae,,-,,-,0
2753,Thin bony cortex,,-,,-,0
2754,Osteomyelitis,710.1,Osteomyelitis,,0,9
2755,Osteomyelitis due to immunodeficiency,,-,,-,0
2756,Pathologic fracture,743.2,Pathologic fracture,,0,8
2757,Recurrent fractures,743.2,Pathologic fracture,,0,17
2758,Osteoarthritis,740,Osteoarthrosis,,0,8
2761,Generalized joint laxity,728.2,Laxity of ligament or hypermobility syndrome,,0,0
2762,Multiple exostoses,726.4,Calcaneal spur; Exostosis NOS,,0,0
2764,Stippled chondral calcification,756.5,Congenital osteodystrophies,Congenital,1,0
2766,Relatively short spine,,-,,-,0
2777,Tracheal stenosis,479,Other upper respiratory disease,,0,2
2779,Tracheomalacia,479,Other upper respiratory disease,,0,1
2780,Bronchomalacia,748,"Anomalies of respiratory system, congenital",Congenital,1,0
2781,Upper airway obstruction,519.8,"Other diseases of respiratory system, NEC",,0,0
2783,Recurrent lower respiratory tract infections,480,Pneumonia,,0,1
2786,Tracheobronchomalacia,,-,,-,0
2787,Tracheal calcification,,-,,-,0
2788,Recurrent upper respiratory tract infections,465,Acute upper respiratory infections of multiple or unspecified sites,,0,9
2789,Tachypnea,513.4,Hyperventilation,,0,9
2790,Neonatal breathing dysregulation,,-,Infantile,-,0
2791,Hypoventilation,513.3,Hypoventilation,,0,2
2792,Reduced vital capacity,,-,,-,0
2793,Abnormal pattern of respiration,513,Respiratory abnormalities,,0,3
2797,Osteolysis,,-,,-,0
2803,Congenital contracture,,-,Congenital,-,0
2804,Arthrogryposis multiplex congenita,,-,Congenital,-,0
2805,Accelerated bone age after puberty,,-,Pediatric,-,0
2808,Kyphosis,737.1,Kyphosis (acquired),,0,30
2810,Dumbbell-shaped metaphyses,,-,,-,0
2812,Coxa vara,736.3,Acquired deformities of hip,,0,3
2813,Abnormality of limb bone morphology,,-,,-,0
2814,Abnormality of the lower limb,,-,,-,0
2815,Abnormality of the knees,,-,,-,0
2816,Genu recurvatum,736.5,Acquired deformities of knee,,0,3
2817,Abnormality of the upper limb,,-,,-,0
2821,Neuropathic arthropathy,713.5,Arthropathy associated with neurological disorders,,0,2
2822,Hyperplasia of the femoral trochanters,,-,,-,0
2823,Abnormality of the femur,,-,,-,0
2825,Caudal appendage,,-,,-,0
2826,Halberd-shaped pelvis,,-,,-,0
2827,Hip dislocation,830,Dislocation,,0,6
2828,Multiple joint contractures,739,Contracture of joint,,0,0
2829,Arthralgia,745,Pain in joint,,0,29
2831,Long coccyx,,-,,-,0
2832,Calcific stippling,756.5,Congenital osteodystrophies,Congenital,1,0
2833,Cystic angiomatosis of bone,,-,,-,0
2834,Flared femoral metaphysis,,-,,-,0
2835,Aspiration,,-,,-,0
2836,Bladder exstrophy,751.2,Congenital anomalies of urinary system,Congenital,1,0
2837,Recurrent bronchitis,497,Bronchitis,,0,7
2839,Urinary bladder sphincter dysfunction,596.5,Functional disorders of bladder,,0,12
2840,Lymphadenitis,289.4,Lymphadenitis,,0,2
2841,Recurrent fungal infections,117,Mycoses,,0,6
2842,Recurrent Burkholderia cepacia infections,480.1,Bacterial pneumonia,,0,2
2843,Abnormality of T cells,,-,,-,0
2845,Increased number of peripheral CD3+ T cells,,-,,-,0
2847,Impaired memory B-cell generation,,-,,-,0
2848,Specific anti-polysaccharide antibody deficiency,,-,,-,0
2849,Absence of lymph node germinal center,,-,,-,0
2850,IgM deficiency,,-,,-,0
2851,Increased number of CD4-/CD8- T cells expressing alpha/beta T-cell receptors,,-,,-,0
2853,Increased proportion of HLA DR+ and CD57+ T cells,,-,,-,0
2857,Genu valgum,736.4,Genu valgum or varum (acquired),,0,12
2858,Meningioma,225.1,"Benign neoplasm of brain, cranial nerves, meninges",,0,5
2859,Rhabdomyosarcoma,170.2,Cancer of connective tissue,,0,2
2860,Squamous cell carcinoma,172.22,Squamous cell carcinoma,,0,4
2861,Melanoma,172.1,"Melanomas of skin, dx or hx",,0,4
2862,Bladder carcinoma,189.2,Cancer of bladder,,0,0
2863,Myelodysplasia,200,Myeloproliferative disease,,0,4
2865,Medullary thyroid carcinoma,193,Thyroid cancer,,0,2
2866,Hypoplastic iliac wing,,-,Congenital,-,0
2868,Narrow iliac wings,,-,,-,0
2869,Flared iliac wings,,-,,-,0
2870,Obstructive sleep apnea,327.32,Obstructive sleep apnea,,0,4
2871,Central apnea,327.31,Central/nonobstroctive sleep apnea,,0,1
2872,"Apneic episodes precipitated by illness, fatigue, stress",513.31,Apnea,,0,1
2875,Exertional dyspnea,512.9,Other dyspnea,,0,5
2876,Episodic tachypnea,513.4,Hyperventilation,,0,0
2877,Nocturnal hypoventilation,327.31,Central/nonobstroctive sleep apnea,,0,2
2878,Respiratory failure,509.1,Respiratory failure,,0,20
2879,Anisospondyly,,-,,-,0
2880,Respiratory difficulties,512.7,Shortness of breath,,0,2
2882,Sudden episodic apnea,513.31,Apnea,,0,1
2883,Hyperventilation,513.4,Hyperventilation,,0,3
2884,Hepatoblastoma,155,Cancer of liver and intrahepatic bile duct,,0,2
2885,Medulloblastoma,191.11,Cancer of brain,,0,3
2886,Vagal paraganglioma,194,Cancer of other endocrine glands,,0,0
2888,Ependymoma,191.11,Cancer of brain,,0,4
2890,Thyroid carcinoma,193,Thyroid cancer,,0,2
2891,Uterine leiomyosarcoma,182,Malignant neoplasm of uterus,,0,1
2893,Pituitary adenoma,227.3,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch),,0,3
2894,Neoplasm of the pancreas,157,Pancreatic cancer,,0,5
2895,Papillary thyroid carcinoma,193,Thyroid cancer,,0,1
2896,Neoplasm of the liver,155,Cancer of liver and intrahepatic bile duct,,0,3
2897,Parathyroid adenoma,227.2,Benign neoplasm of parathyroid gland,,0,4
2900,Hypokalemia,276.14,Hypopotassemia,,0,18
2901,Hypocalcemia,275.51,Hypocalcemia,,0,5
2902,Hyponatremia,276.12,Hyposmolality and/or hyponatremia,,0,13
2904,Hyperbilirubinemia,277.4,Disorders of bilirubin excretion,,0,10
2905,Hyperphosphatemia,275.53,Disorders of phosphorus metabolism,,0,5
2907,Microscopic hematuria,593.2,Microscopic hematuria,,0,4
2908,Conjugated hyperbilirubinemia,277.4,Disorders of bilirubin excretion,,0,6
2909,Generalized aminoaciduria,,-,,-,0
2910,Elevated hepatic transaminases,573.6,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH],,0,58
2912,Methylmalonic acidemia,,-,,-,0
2913,Myoglobinuria,,-,,-,0
2914,Hyperchloridura,,-,,-,0
2916,Abnormality of chromosome segregation,758.1,Chromosomal anomalies,Congenital,1,0
2917,Hypomagnesemia,275.3,Disorders of magnesium metabolism,,0,9
2918,Hypermagnesemia,275.3,Disorders of magnesium metabolism,,0,1
2919,Ketonuria,250.5,Glycosuria or Acetonuria,,0,5
2920,Decreased circulating ACTH level,253.4,Anterior pituitary disorders,,0,1
2922,Increased CSF protein,,-,,-,0
2923,Rheumatoid factor positive,,-,,-,0
2924,Decreased circulating aldosterone level,,-,,-,0
2925,Thyroid-stimulating hormone excess,,-,,-,0
2927,Histidinuria,,-,,-,0
2928,Decreased activity of the pyruvate dehydrogenase (PDH) complex,,-,,-,0
2929,Leydig cell insensitivity to gonadotropin,,-,,-,0
2930,Thyroid hormone receptor defect,,-,,-,0
2932,Aldehyde oxidase deficiency,,-,,-,0
2936,Distal sensory impairment,687.4,Disturbance of skin sensation,,0,52
2937,Hemivertebrae,754,Congenital musculoskeletal deformities of spine,Congenital,1,0
2938,Lumbar hyperlordosis,737.2,Lordosis (acquired),,0,5
2942,Thoracic kyphosis,737.1,Kyphosis (acquired),,0,1
2943,Thoracic scoliosis,737.3,Kyphoscoliosis and scoliosis,,0,1
2944,Thoracolumbar scoliosis,737.3,Kyphoscoliosis and scoliosis,,0,3
2945,Intervertebral space narrowing,,-,,-,0
2946,Supernumerary vertebrae,,-,Congenital,-,0
2947,Cervical kyphosis,737.1,Kyphosis (acquired),,0,0
2948,Vertebral fusion,754,Congenital musculoskeletal deformities of spine,Congenital,1,0
2949,Fused cervical vertebrae,754,Congenital musculoskeletal deformities of spine,Congenital,1,0
2953,Vertebral compression fractures,805,Fracture of vertebral column without mention of spinal cord injury,,0,4
2955,Granulomatosis,446.4,Wegener's granulomatosis,,0,2
2958,Immune dysregulation,,-,,-,0
2959,Impaired Ig class switch recombination,,-,,-,0
